,passport,itempass,passportpass
200,"['1966', '2019', '2020', '151cm', '#3107b3', 'grn', '319882814', '256']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
201,"['1947', '2015', '2025', '184cm', '#f3a364', 'grn', '827962962', '62']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
202,"['1973', '2013', '2024', '154cm', '#fffffd', 'amb', '215012801', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
203,"['1944', '2019', '2022', '152cm', '#623a2f', 'hzl', '295632731', '243']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
204,"['1984', '2011', '2021', '161cm', '73e739', 'brn', '089250747', '253']","[1, 1, 1, 1, 0, 1, 1, 0]",['fail']
205,"['1944', None, '2021', '173cm', '#18171d', 'oth', '732054667', None]","[1, 0, 1, 1, 1, 1, 1, 0]",['fail']
206,"['1992', '2020', '2026', '187cm', '#a97842', 'gry', '445116331', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
207,"['1990', '2021', None, '170cm', '80c091', None, '745555899', None]","[1, 0, 0, 1, 0, 0, 1, 0]",['fail']
208,"['1927', '2012', '2025', '164cm', '#65ccf6', 'brn', '058987865', '209']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
209,"['2026', '2023', '1921', '67cm', 'f8e749', 'lzr', None, None]","[0, 0, 0, 0, 0, 0, 0, 0]",['fail']
210,"['1922', '2013', '2028', '179cm', '#7d3b0c', 'hzl', '103268377', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
211,"['1923', '2015', '2024', '167cm', '#7fc8ee', 'gry', '427963077', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
212,"['1927', '2015', '2029', '157cm', '#733820', 'grn', '741328150', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
213,"['1921', '1945', '2029', '70cm', 'e76970', 'zzz', '823622634', '186']","[1, 0, 1, 0, 0, 0, 1, 0]",['fail']
214,"[None, '2029', '2024', '61cm', 'd5e5ff', 'dne', '182634269', '87']","[0, 0, 1, 0, 0, 0, 1, 0]",['fail']
215,"['1936', '2011', '2020', '156cm', '#623a2f', 'gry', '236984204', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
216,"['2023', '2010', '2033', '172cm', 'ff82f9', 'blu', '872645776', '220']","[0, 1, 0, 1, 0, 1, 1, 0]",['fail']
217,"['1922', '2013', '2025', '163cm', '#18171d', 'brn', '774489073', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
218,"['1962', '2019', '2024', '65in', '#888785', 'grn', '112233558', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
219,"['1980', '2013', '2022', '172cm', '#18171d', 'blu', '609008608', '244']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
220,"[None, '1956', '2025', '175in', '674e80', None, '099875931', '124']","[0, 0, 1, 0, 0, 0, 1, 0]",['fail']
221,"['1926', '2018', '2021', '188cm', '#866857', 'hzl', '557800355', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
222,"['1939', '2013', '2026', '164cm', '#733820', 'grn', '200409089', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
223,"['1976', '2016', '2024', '169cm', None, 'gry', '043453462', '73']","[1, 1, 1, 1, 0, 1, 1, 0]",['fail']
224,"['1958', '2017', '2025', '187cm', '#733820', 'gry', '609818712', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
225,"['1938', '2013', '2022', '66in', '#d1bda9', 'grn', '618590610', '69']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
226,"['1929', '2018', '2024', '156cm', '#6b5442', 'gry', '755742405', '105']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
227,"['1989', '2011', '2030', '160cm', '#7d3b0c', 'blu', '77022842', None]","[1, 1, 1, 1, 1, 1, 0, 0]",['fail']
228,"['1968', '2015', '2030', '150cm', '#341e13', 'amb', '434159843', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
229,"[None, '1947', '1993', '176in', 'z', '#78876d', '#b3a5a6', None]","[0, 0, 0, 0, 0, 0, 0, 0]",['fail']
230,"['1965', '2010', '2026', '180cm', '#cfa07d', 'gry', '048327438', '249']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
231,"['1940', '2016', '2021', '185cm', '#fffffd', 'gry', '136468890', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
232,"['1976', '2013', '2022', '180in', '#b6652a', '#737836', '156cm', None]","[1, 1, 1, 0, 1, 0, 0, 0]",['fail']
233,"['1955', '2016', '2028', '162cm', '#733820', 'amb', '193cm', '346']","[1, 1, 1, 1, 1, 1, 0, 0]",['fail']
234,"['1932', '2010', '2025', '166cm', '#341e13', 'grn', '595837820', '224']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
235,"['1944', '2016', '2029', '160cm', '#623a2f', 'brn', '481646831', '319']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
236,"['2024', '2022', '2028', '76cm', '#a97842', 'zzz', '428329840', '238']","[0, 0, 1, 0, 1, 0, 1, 0]",['fail']
237,"['1963', '2014', '2026', '170cm', '#623a2f', 'gry', '225910806', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
238,"['1928', '2010', '2028', '193cm', '#733820', 'grn', '343022641', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
239,"['1950', '2012', '2023', '193cm', '#866857', 'grn', '400725165', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
240,"['1966', '2014', '2027', '177cm', '#18171d', 'oth', '913894485', '195']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
241,"['1983', '2015', '2023', '154cm', '#602927', 'brn', '134599284', '206']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
242,"['2013', '2027', '1942', '162cm', 'z', '#2d0e7a', '#f34625', None]","[0, 0, 0, 1, 0, 0, 0, 0]",['fail']
243,"['1965', '2011', '2026', '189cm', '#b6652a', 'hzl', '683560227', '178']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
244,"['1920', '2017', '2030', '167cm', '#602927', 'grn', '047446524', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
245,"['1953', '1920', '2027', '193cm', '#888785', 'hzl', '401913877', '86']","[1, 0, 1, 1, 1, 1, 1, 0]",['fail']
246,"['1991', '2016', '2025', '186cm', '#5e1ef2', 'grn', '076499738', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
247,"['1956', '2020', '2030', '157cm', '#18171d', 'gry', '750694893', '338']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
248,"['1956', '2027', '2039', '164cm', '#aeacee', '#80df11', '#37f002', '320']","[1, 0, 0, 1, 1, 0, 0, 0]",['fail']
249,"['1960', '2014', '2025', None, '#733820', 'grn', '667089568', None]","[1, 1, 1, 0, 1, 1, 1, 0]",['fail']
250,"['1962', '2012', '2029', '163cm', '#733820', 'gry', '763684725', '108']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
251,"['1984', '2012', '2024', '159cm', '#888785', 'gry', '174711749', '236']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
252,"['1985', '2013', '2029', None, '#b6652a', 'gry', '044931271', None]","[1, 1, 1, 0, 1, 1, 1, 0]",['fail']
253,"['1973', '2018', '2023', '186cm', '#a97842', 'blu', '937214113', '247']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
254,"['2025', '2017', '2034', '170cm', '#18171d', 'utc', '231782961', '108']","[0, 1, 0, 1, 1, 0, 1, 0]",['fail']
255,"['1928', '2011', '2028', '188cm', '#a97842', 'gry', '298274796', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
256,"['2010', '1943', '2025', '65cm', 'z', '#bb54e6', '65702335', None]","[0, 0, 1, 0, 0, 0, 0, 0]",['fail']
257,"['1999', '2015', '2024', '193cm', '#cfa07d', 'gry', '499116613', '278']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
258,"['1988', '2010', '2027', '175cm', '#6b5442', 'brn', '410075320', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
259,"['1991', '2013', '2023', None, '#602927', 'oth', '269678991', None]","[1, 1, 1, 0, 1, 1, 1, 0]",['fail']
260,"['1975', '2018', '2020', '160cm', '#fffffd', 'oth', '144593265', '304']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
261,"['1951', '2014', '2029', '185cm', '#ceb3a1', 'oth', '520804395', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
262,"['1944', '2016', '2029', '159cm', '#866857', 'hzl', '312887994', '205']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
263,"['2030', '2023', '1946', None, None, '#54c85c', '512417622', '190']","[0, 0, 0, 0, 0, 0, 1, 0]",['fail']
264,"['1946', '2014', '2023', '163cm', '#2d4e9c', 'brn', '839043333', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
265,"['1920', '2027', '1975', '187cm', '#c0946f', 'grn', None, '122']","[1, 0, 0, 1, 1, 1, 0, 0]",['fail']
266,"['1922', '2016', '2029', '189cm', '#b6652a', 'blu', '924104599', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
267,"['1921', '2016', '1938', '162cm', '#18171d', 'hzl', '682222023', None]","[1, 1, 0, 1, 1, 1, 1, 0]",['fail']
268,"['1921', '2010', '2029', '158cm', '#7d3b0c', 'oth', '959515596', '118']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
269,"['2005', '2017', '2008', '150in', '8f4d80', '#8ac844', '162cm', '174']","[0, 1, 0, 0, 0, 0, 0, 0]",['fail']
270,"['1936', '2012', '2021', '170cm', 'z', 'hzl', '255481052', '276']","[1, 1, 1, 1, 0, 1, 1, 0]",['fail']
271,"['1935', '2013', '2023', '179cm', '#623a2f', 'amb', '073621563', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
272,"['1989', '2019', '2021', '181cm', '#18171d', 'oth', '661224730', '230']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
273,"['1995', '2020', '2020', '171cm', '#fffffd', '#6ebbc2', '748039140', None]","[1, 1, 1, 1, 1, 0, 1, 0]",['fail']
274,"['1928', '2014', '2028', '186cm', '#ceb3a1', 'hzl', '758144605', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
275,"['2000', '2017', '2020', '66in', '#a97842', 'hzl', '162973694', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
276,"['1969', '2012', '2021', '180cm', '#733820', 'hzl', '749770535', '148']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
277,"['1958', '2010', '2024', '164cm', '#733820', 'blu', '890634327', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
278,"['1970', '2020', '2025', '70in', '#341e13', 'gry', '218397894', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
279,"['1981', '2020', '2020', '157cm', '#7d3b0c', 'amb', '854208004', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
280,"['1924', '2010', '2028', '170cm', '#cfa07d', 'amb', '036669613', '321']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
281,"['1950', '1963', '1928', '152in', 'z', '#6649d4', '0026989865', '188']","[1, 0, 0, 0, 0, 0, 0, 0]",['fail']
282,"['1966', '2010', '2028', '173cm', '#ceb3a1', 'grn', '074363489', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
283,"['2023', '2022', '2030', '161in', 'z', '#f8824c', '9731612333', '316']","[0, 0, 1, 0, 0, 0, 0, 0]",['fail']
284,"['1952', '2016', '2024', '175cm', '#fffffd', 'brn', '085432899', '244']","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
285,"['1969', '2017', '2026', '75in', '#7394c7', 'brn', '745302991', None]","[1, 1, 1, 1, 1, 1, 1, 0]",['pass']
286,"[None, None, None, None, None, None, None, None]","[0, 0, 0, 0, 0, 0, 0, 0]",['fail']
287,"[None, None, None, None, None, None, None, None]","[0, 0, 0, 0, 0, 0, 0, 0]",['fail']
288,"[None, None, None, None, None, None, None, None]","[0, 0, 0, 0, 0, 0, 0, 0]",['fail']
289,"[None, None, None, None, None, None, None, None]","[0, 0, 0, 0, 0, 0, 0, 0]",['fail']
290,"[None, None, None, None, None, None, None, None]","[0, 0, 0, 0, 0, 0, 0, 0]",['fail']
291,"[None, None, None, None, None, None, None, None]","[0, 0, 0, 0, 0, 0, 0, 0]",['fail']
292,"[None, None, None, None, None, None, None, None]","[0, 0, 0, 0, 0, 0, 0, 0]",['fail']
293,"[None, None, None, None, None, None, None, None]","[0, 0, 0, 0, 0, 0, 0, 0]",['fail']
294,"[None, None, None, None, None, None, None, None]","[0, 0, 0, 0, 0, 0, 0, 0]",['fail']
295,"[None, None, None, None, None, None, None, None]","[0, 0, 0, 0, 0, 0, 0, 0]",['fail']
